eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,cluster
201104050020,2011,4,5,,0,,200,Syria,10,Middle East & North Africa,Damascus,Kafr Batna,33.512043,36.37204,1.0,0,,"04/05/2011: On Tuesday, in Kafr Batna, Dimashq, Syria, unknown gunmen opened fire on a police patrol, killing two policeman identified as Hassan Moala and Hamid Khatib. No damages were reported and no group claimed responsibility.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,3,Police,23.0,Police Patrol (including vehicles and convoys),Kafr Batna Law Enforcement,A police patrol,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unknown firearms were used in the attack.,2.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,,,,,,,,,,,,"Reuters, ""Two Syrian Police Killed by Gunmen - State TV,"" Reuters, April 05, 2011, http://www.trust.org/alertnet/news/two-syrian-police-killed-by-gunmen-state-tv/.","Jane's Intelligence, ""Militants Kill Two Police Officers near Syrian Capital,"" Terrorism Watch Report, Al-Jazeera, April 06, 2011.","Voice of America, ""Gunmen in Syria Kill Two Policemen,"" http://blogs.voanews.com/breaking-news/2011/04/05/gunmen-in-syria-kill-2-policemen/ (April 06, 2011).",ISVG,-9,-9,0,-9,,0
201105060016,2011,5,6,,0,,200,Syria,10,Middle East & North Africa,Homs,Homs,34.717705,36.722824,1.0,0,"The incident occurred at a joint army-police checkpoint in the Baba Amr district of Homs, Homs.","05/06/2011: On Friday, in Baba Amr near Homs, Hims, Syria, unknown gunmen attacked a joint army-police checkpoint. Army officer Ahmad Hallaq and four policemen, identified as Adjutant George Elian, Mohammad Maarouf, Bassam abu al-Anz and Thaer Jardou were killed in the attack. It is unknown if the attack caused any property damage. No group claimed responsibility.",1,1,0,1,1.0,Insurgency/Guerilla Action,0.0,1,0,2,Armed Assault,,,,,4,Military,36.0,Military Checkpoint,Syrian Military,A joint military and police checkpoint,200.0,Syria,3.0,Police,25.0,Police Security Forces/Officers,Baba Amr Law Enforcement,A joint police and military checkpoint was targeted.,200.0,Syria,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unknown firearms were used in the attack.,5.0,0.0,0.0,0.0,0.0,0.0,-9,,,,It is unknown if the attack caused any property damage.,0.0,,,,,,,,,,,,,,,,,"Press TV, ""Ten Syrian Soldiers, Policemen Killed,"" http://www.presstv.ir/detail/178616.html (May 6, 2011).","Xinhua News Agency, ""Militants Kill Five Military Personnel in Syria's Homs,"" Xinhua News Agency, May 7, 2011, http://news.xinhuanet.com/english2010/world/2011-05/07/c_13862814.htm.","BBC Monitoring Middle East, ""Five Killed in Attack on Military Checkpoint in Homs - Syrian Agency,"" LexisNexis Academic, SANA, May 6, 2011.",ISVG,-9,-9,0,-9,,1
201105060017,2011,5,6,,0,,200,Syria,10,Middle East & North Africa,Homs,Homs,34.717705,36.722824,1.0,0,,"05/06/2011: On Friday, in Homs, Hims, Syria, unknown gunmen killed 10 Syrian soldiers and policemen and wounded an unknown amount during an attack on a checkpoint. After the attack, soldiers and security forces chased the gunmen out of Homs. It is unknown if the attack caused any property damage. No group claimed responsibility.",1,1,0,1,1.0,Insurgency/Guerilla Action,0.0,1,0,2,Armed Assault,,,,,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Syrian Military,Syrian soldiers,200.0,Syria,3.0,Police,25.0,Police Security Forces/Officers,Homs Law Enforcement,Police were targeted.,200.0,Syria,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unknown firearms were used in the attack.,10.0,0.0,0.0,,0.0,0.0,-9,,,,It is unknown if the attack caused any property damage.,0.0,,,,,,,,,,,,,,,,,"Press TV, ""Ten Syrian Soldiers, Policemen Killed,"" http://www.presstv.ir/detail/178616.html (May 6, 2011).","Now Lebanon, ""NOW Lebanon: Syria Army Says 10 Soldiers, Policemen Killed by ""Terrorists"","" World News Connection, Now Lebanon, May 8, 2011.","Russian News & Information Agency, ""Gunmen Kill 10 in Attack on Syrian Checkpoint,"" LexisNexis Academic, Russian News & Information Agency, May 7, 2011.",ISVG,-9,-9,0,-9,,1
201105080007,2011,5,8,,0,,200,Syria,10,Middle East & North Africa,Homs,Homs,34.717705,36.722824,1.0,0,The incident occurred on the Damascus-Homs highway in Homs.,"05/08/2011: On Sunday, in Homs, Hims, Syria, unknown gunmen opened fire on a minibus carrying workers returning from Lebanon on the Damascus-Homs highway. Ten civilian workers were killed, and three others were wounded. It is unknown if the attack caused any property damage. No group claimed responsibility.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,19,Transportation,99.0,Bus (excluding tourists),,Civilians in a minibus,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,5.0,Unknown Gun Type,,,,,,,,,,,,,Unknown firearms were used in the attack.,10.0,0.0,0.0,3.0,0.0,0.0,-9,,,,It is unknown if the attack caused any property damage.,0.0,,,,,,,,,,,,,,,,,"Voice of Iraq, ""Terrorists Kill 10 Syrian Civilians,"" http://www.presstv.ir/detail/178950.html (May 9, 2011).","Xinhua News Agency, ""Ten Syrian Workers Killed by ""Armed Terrorist Groups"","" Xinhua News Agency, May 9, 2011, http://news.xinhuanet.com/english2010/world/2011-05/09/c_13865032.htm.","Trend News Agency, ""Ten Syrians Killed in Bus Ambush,"" LexisNexis Academic, Trend News Agency, May 9, 2011.",ISVG,-9,-9,0,-9,,1
201105220013,2011,5,22,,0,,200,Syria,10,Middle East & North Africa,Homs,,34.256841,38.317288,4.0,0,,"05/22/2011: On Sunday, in an unspecified location in Homs, Syria, unidentified militants opened fire on a passenger bus carrying laborers. Ten laborers were killed and three others were injured. It is unknown if the attack caused any property damage. No group claimed responsibility for this attack.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,77.0,Laborer (General)/Occupation Identified,,"Militants opened fire on a passenger bus carrying laborers, killing ten.",200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,,,,Unknown firearms were used in the attack.,10.0,0.0,0.0,3.0,0.0,0.0,-9,,,,It is unknown if the attack caused any property damage.,0.0,,,,,,,,,,,,,,,,,"JaneÂ¡Â¯s Intelligence, Â¡Â°Armed Terrorist Group Kills 10 Labourers in Syria's Homs,Â¡Â± Terrorism Watch Report, SANA, May 24, 2011.","BBC Monitoring Middle East, ""Ten Killed, Three Injured in Roadside Ambush in Syria,"" LexisNexis Academic, SANA, May 23, 2011.",,ISVG,-9,-9,0,-9,,2
201107120012,2011,7,12,,0,,200,Syria,10,Middle East & North Africa,Deir ez-Zor,Tayyanah,34.982067,40.53936,1.0,0,The incident occurred on a natural gas pipeline in the al-Tayyaneh area of Deir ez-Zor.,"07/12/2011: On Tuesday night at 2300, in the al-Tayyaneh area of Dayr az Zawr, Syria, suspected militants detonated an improvised explosive device on a natural gas pipeline. The attack caused an unknown amount of damage and no casualties were reported. No group claimed responsibility.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,21,Utilities,106.0,Gas,,A gas pipeline,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,17.0,Other Explosive Type,,,,,,,,,,,,,An improvised explosive device was used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the pipeline.,0.0,,,,,,,,,,,,,,,,"It is unclear whether or not the explosion was due to terrorism or whether or not it was due to a fire in the nearby grass because of dry weather or a leak in the line, an Oil ministry official was quoted saying.","JaneÂ¡Â¯s Intelligence, Â¡Â°Militants Blow up Gas Pipeline in Syria's Deir Al-Zour,Â¡Â± Terrorism Watch Report, BBC, July 14, 2011.","Agence France Presse, Â¡Â°Blast Hits Gas Pipline in Northeast Syria: Activist,Â¡Â± LexisNexis Academic, Agence France Presse, July 13, 2011.","Dina Al-Shibeeb, Â¡Â°Explosions Reported at Two Gas Pipelines in Syria, but Their Causes Are Disputed,Â¡Â± LexisNexis Academic, Al Arabiya, July 13, 2011.",ISVG,-9,-9,0,-9,,3
201107130012,2011,7,13,,0,,200,Syria,10,Middle East & North Africa,Deir ez-Zor,Busayrah,35.155735,40.42632,1.0,0,,"07/13/2011: On Wednesday, in Busayrah, Dayr az Zawr, Syria, a fire damaged an oil pipeline. Witnessess report that the fire was caused by an explosion, however conflicting sources indicate that it may have been due to an accident. No casualties were reported and no group claimed responsibility.",1,1,1,1,4.0,Lack of Intentionality,0.0,1,0,3,Bombing/Explosion,,,,,21,Utilities,106.0,Gas,,A natural gas pipeline,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Unknown explosives were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the pipeline.,0.0,,,,,,,,,,,,,,,,"It is unclear whether or not the explosion was due to terrorism or whether or not it was due to a fire in the nearby grass because of dry weather or a leak in the line, an Oil ministry official was quoted saying.","Mroue, Bassem, Â¡Â°Fire damages gas pipeline in eastern Syria,Â¡Â± LexisNexis Academic, Associated Press Financial Wire, July 13, 2011.","BBC Monitoring Middle East, Â¡Â°Syrians in East Say Bomb Blasts Damage Gas Pipelines, Government Denies,"" LexisNexis Academic, Al Jazeera, July 13, 2011.","Pak Banker, Â¡Â°Bombs Damage Two Gas Pipelines in Syria,Â¡Â± LexisNexis Academic, Hindustan Times, July 14, 2011.",ISVG,-9,-9,0,-9,,3
201107230005,2011,7,23,,0,,200,Syria,10,Middle East & North Africa,Homs,Homs,34.717705,36.722824,1.0,0,The incident occurred at the Syrian Army War College in the al-Waer district of Homs.,"07/23/2011: On Saturday, in Homs, Hims, Syria, an unknown number of people were injured in two explosions at the Syrian Army War College in the al-Waer district. Sham FM radio reported that rocket-propelled grenades were fired in the attack, although this is not certain. The attack caused an unknown amount of damage and no group claimed responsibility.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,4,Military,28.0,Military Recruiting Station/Academy,Syrian Army War College,Military college,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,"Unknown explosives were used in the attack; however, rocket-propelled grenades were suspected of being used in the attack.",0.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the college.,0.0,,,,,,,,,,,,,,,,,"Press TV, Â¡Â°Two Blasts Rock Syrian Army War College,"" Reuters, http://www.presstv.ir/detail/190329.html (July 23, 2011).","ITN, Â¡Â°Two Blasts at Syrian Military College,Â¡Â± LexisNexis Academic, ITN, July 23, 2011.","Tang Danlu, Â¡Â°Blasts Rock Military School in Homs, Syria -- Report,Â¡Â± Xinhua News Agency, July 23, 2011, http://news.xinhuanet.com/english2010/world/2011-07/23/c_131003903.htm.",ISVG,-9,-9,0,-9,,1
201107230006,2011,7,23,,0,,200,Syria,10,Middle East & North Africa,Homs,Homs,34.717705,36.722824,1.0,0,The incident occurred on a train in Homs.,"07/23/2011: On Saturday night around 0300, near al-Souday area in Homs, Hims, Syria, unidentified assailants attacked a train after they had removed parts of the railway causing it to derail. The driver was killed and an unknown number of people were wounded in the attack. The attack caused an unknown amount of property damage, but the front carriage of the train caught fire and an unspecified number of carriages were derailed. No group claimed responsibility.",1,1,1,0,,,0.0,1,0,7,Facility/Infrastructure Attack,2.0,Armed Assault,,,19,Transportation,100.0,Train/Train Tracks/Trolley,,A train,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,13,Unknown,,,,,,,,,,,,,,,Unknown weapons were used in the attack.,1.0,0.0,0.0,,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the train tracks and to the train.,0.0,,,,,,,,,,,,,,,,,"BBC Monitoring Middle East, Â¡Â°One Dead after ""Saboteurs"" Derail Train in Syria's Homs Region,"" LexisNexis Academic, SANA, July 23, 2011.","Voice of Iraq, ""Syria Blames 'Saboteurs' for Deadly Derailment,"" LexisNexis Academic, Associated Press, Agence France Presse and Reuters, July 23, 2011.","Xiong Tong, Â¡Â°Armed Groups Attack Civilian Train in Syria's Homs, Killing One: State TV,Â¡Â± Xinhua News Agency, July 23, 2011, http://news.xinhuanet.com/english2010/world/2011-07/23/c_131004440.htm.",ISVG,-9,-9,0,-9,,1
201107290009,2011,7,29,,0,,200,Syria,10,Middle East & North Africa,Homs,,34.256841,38.317288,4.0,0,"The incident occurred along an oil pipeline in an unspecified area of Homs, Syria.","07/29/2011: On Friday night at 0400, in an unspecified area of Homs, Syria, unidentified assailants bombed an oil pipeline that transported oil to Banyias, Israel. The attack caused an unknown amount of damage, but resulted in no casualties. A crater 15 meters in diameter was left in the ground. No group claimed responsibility.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,21,Utilities,108.0,Oil,,An oil pipeline,200.0,Syria,,,,,,,,,,,,,,,,,Unknown,,,,,,The specific motive for the attack is unknown.,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,Unknown explosives were used in the attack.,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,Minor (likely < $1 million),,The attack caused an unknown amount of property damage to the pipeline and caused a crater 15 meters in diameter.,0.0,,,,,,,,,,,,,,,,,"Press TV, Â¡Â°Saboteurs' Bomb Syrian Oil Pipeline,"" SANA, http://www.presstv.ir/detail/191312.html (July 29, 2011).","Agence France Presse, Â¡Â°Four Killed, Pipeline Blown Up Ahead of Syria Demos,Â¡Â± LexisNexis Academic, Agence France Presse, July 29, 2011.","Zeina Karam, Â¡Â°Bomb Blast Hits Oil Pipeline in Western Syria,Â¡Â± LexisNexis Academic, Associated Press, July 29, 2011.",ISVG,-9,-9,0,-9,,2
